 posicao = [5, 28] - vizinhos: [[6, 28], [4, 28], [5, 27], [5, 29]] 
 posicao = [5, 29] - vizinhos: [[6, 29], [4, 29], [5, 28], [5, 30]] 
 posicao = [5, 30] - vizinhos: [[6, 30], [4, 30], [5, 29], [5, 31]] 
 posicao = [5, 31] - vizinhos: [[6, 31], [4, 31], [5, 30], [5, 32]] 
 posicao = [5, 32] - vizinhos: [[6, 32], [4, 32], [5, 31], [5, 33]] 
 posicao = [5, 33] - vizinhos: [[6, 33], [4, 33], [5, 32], [5, 34]] 
 posicao = [5, 34] - vizinhos: [[6, 34], [4, 34], [5, 33], [5, 35]] 
 posicao = [5, 35] - vizinhos: [[6, 35], [4, 35], [5, 34], [5, 36]] 
 posicao = [5, 36] - vizinhos: [[6, 36], [4, 36], [5, 35], [5, 37]] 
 posicao = [5, 37] - vizinhos: [[6, 37], [4, 37], [5, 36], [5, 38]] 
 posicao = [5, 38] - vizinhos: [[6, 38], [4, 38], [5, 37], [5, 39]] 
 posicao = [5, 39] - vizinhos: [[6, 39], [4, 39], [5, 38], [5, 40]] 
 posicao = [5, 40] - vizinhos: [[6, 40], [4, 40], [5, 39], [5, 41]] 
 posicao = [5, 41] - vizinhos: [[6, 41], [4, 41], [5, 40], [5, 42]] 
 posicao = [5, 42] - vizinhos: [[6, 42], [4, 42], [5, 41], [5, 43]] 
 posicao = [5, 43] - vizinhos: [[6, 43], [4, 43], [5, 42], [5, 44]] 
 posicao = [5, 44] - vizinhos: [[6, 44], [4, 44], [5, 43], [5, 45]] 
 posicao = [5, 45] - vizinhos: [[6, 45], [4, 45], [5, 44], [5, 46]] 
 posicao = [5, 46] - vizinhos: [[6, 46], [4, 46], [5, 45], [5, 47]] 
 posicao = [5, 47] - vizinhos: [[6, 47], [4, 47], [5, 46]] 
 posicao = [6, 2] - vizinhos: [[7, 2], [5, 2], [6, 3]] 
 posicao = [6, 3] - vizinhos: [[7, 3], [5, 3], [6, 2], [6, 4]] 
 posicao = [6, 4] - vizinhos: [[7, 4], [5, 4], [6, 3], [6, 5]] 
 posicao = [6, 5] - vizinhos: [[7, 5], [5, 5], [6, 4], [6, 6]] 
 posicao = [6, 6] - vizinhos: [[7, 6], [5, 6], [6, 5], [6, 7]] 
 posicao = [6, 7] - vizinhos: [[7, 7], [5, 7], [6, 6], [6, 8]] 
 posicao = [6, 8] - vizinhos: [[7, 8], [5, 8], [6, 7], [6, 9]] 
 posicao = [6, 9] - vizinhos: [[7, 9], [5, 9], [6, 8], [6, 10]] 
 posicao = [6, 10] - vizinhos: [[7, 10], [5, 10], [6, 9], [6, 11]] 
 posicao = [6, 11] - vizinhos: [[7, 11], [5, 11], [6, 10], [6, 12]] 
 posicao = [6, 12] - vizinhos: [[7, 12], [5, 12], [6, 11], [6, 13]] 
 posicao = [6, 13] - vizinhos: [[7, 13], [5, 13], [6, 12], [6, 14]] 
 posicao = [6, 14] - vizinhos: [[7, 14], [5, 14], [6, 13], [6, 15]] 
 posicao = [6, 15] - vizinhos: [[7, 15], [5, 15], [6, 14], [6, 16]] 
 posicao = [6, 16] - vizinhos: [[7, 16], [5, 16], [6, 15], [6, 17]] 
 posicao = [6, 17] - vizinhos: [[7, 17], [5, 17], [6, 16], [6, 18]] 
 posicao = [6, 18] - vizinhos: [[7, 18], [5, 18], [6, 17], [6, 19]] 
 posicao = [6, 19] - vizinhos: [[7, 19], [5, 19], [6, 18], [6, 20]] 
 posicao = [6, 20] - vizinhos: [[7, 20], [5, 20], [6, 19], [6, 21]] 
 posicao = [6, 21] - vizinhos: [[7, 21], [5, 21], [6, 20], [6, 22]] 
 posicao = [6, 22] - vizinhos: [[7, 22], [5, 22], [6, 21], [6, 23]] 
 posicao = [6, 23] - vizinhos: [[7, 23], [5, 23], [6, 22], [6, 24]] 
 posicao = [6, 24] - vizinhos: [[7, 24], [5, 24], [6, 23], [6, 25]] 
 posicao = [6, 25] - vizinhos: [[7, 25], [5, 25], [6, 24], [6, 26]] 
 posicao = [6, 26] - vizinhos: [[7, 26], [5, 26], [6, 25], [6, 27]] 
 posicao = [6, 27] - vizinhos: [[7, 27], [5, 27], [6, 26], [6, 28]] 
 posicao = [6, 28] - vizinhos: [[7, 28], [5, 28], [6, 27], [6, 29]] 
 posicao = [6, 29] - vizinhos: [[7, 29], [5, 29], [6, 28], [6, 30]] 
 posicao = [6, 30] - vizinhos: [[7, 30], [5, 30], [6, 29], [6, 31]] 
 posicao = [6, 31] - vizinhos: [[7, 31], [5, 31], [6, 30], [6, 32]] 
 posicao = [6, 32] - vizinhos: [[7, 32], [5, 32], [6, 31], [6, 33]] 
 posicao = [6, 33] - vizinhos: [[7, 33], [5, 33], [6, 32], [6, 34]] 
 posicao = [6, 34] - vizinhos: [[7, 34], [5, 34], [6, 33], [6, 35]] 
